1,"﻿пр-кт. Мира, д. 188 Б, к. 1, Москва
","55.834472,37.65805"
2,"пр-кт. Мира, д. 188Б, к. 3, Москва
","55.835483,37.658338"
3,"пер. Чапаевский, д. 3, Москва
","55.7984977,37.5207235"
4,"ул. Мосфильмовская, д. 8, Москва
","55.723592,37.527256"
5,"ул. Мосфильмовская, д. 70, Москва
","55.71518,37.506612"
6,"ул. Авиационная, д. 79, к. 1, Москва
","55.806521,37.4497704"
7,"ул. Новодмитровская, д. 2, к. 7, Москва
","55.8025345,37.5918826"
8,"пр-кт. Ленинский, д. 111, к. 1, Москва
","55.661358,37.5093789"
9,"пр-кт. Маршала Жукова, д. 78, Москва
","55.780774,37.449188"
10,"ул. Новодмитровская, д. 2, к. 5, Москва
","55.8034214,37.5912477"
11,"ул. Новодмитровская, д. 2, к. 6, Москва
","55.803,37.59155"
12,"ул. Михневская, д. 8, Москва
","55.5797112,37.6710148"
13,"ш. Хорошевское, д. 16, к. 1, Москва
","55.774598,37.54595"
14,"ш. Хорошевское, д. 16, к. 2, Москва
","55.7743069,37.5465424"
15,"ш. Ленинградское, д. 25, к. 2, Москва
","55.8277195,37.4876248"
16,"ул. Дыбенко, д. 38, к. 1, Москва
","55.8767527,37.4840255"
17,"ул. Профсоюзная, д. 64, к. 2, Москва
","55.665594,37.547594"
18,"ш. Рублевское, д. 107, Москва
","55.744308,37.419521"
19,"ул. Саляма Адиля, д. 2, к. 1, Москва
","55.7740421,37.4671225"
20,"мкр. Чертаново Северное, д. 1А, Москва
","55.637393,37.600388"
21,"ул. Минская, д. 2, Москва
","55.7159734,37.5040549"
22,"ул. Русаковская, д. 31, Москва
","55.7884101,37.6785865"
23,"ул. Маршала Катукова, д. 24, к. 1, Москва
","55.8044495,37.4145011"
24,"пр-кт. Мира, д. 188 Б, к. 4, Москва
","55.834421,37.659596"
25,"пр-кт. Вернадского, д. 94, к. 4, Москва
","55.6530166,37.471809"
26,"ул. Исаковского, д. 39, к. 1, Москва
","55.8067883,37.4234394"
27,"ш. Ленинградское, д. 108, Москва
","55.8604993,37.4677327"
28,"наб. Шелепихинская, д. 34, к. 1, Москва
","55.7613587,37.5124954"
29,"ул. Авиационная, д. 79, Москва
","55.8073854,37.4487516"
30,"пр-кт. Вернадского, д. 94, к. 3, Москва
","55.6528929,37.473063"
31,"ул. Крылатские Холмы, д. 33, к. 1, Москва
","55.7568112,37.4182692"
32,"ул. Мосфильмовская, д. 55, Москва
","55.703079,37.495087"
33,"ул. Первомайская, д. 42., Москва
","55.7921743,37.7870669"
34,"ул. Сельскохозяйственная, д. 16, к. 1, Москва
","55.836752,37.643767"
35,"ул. Смольная, д. 49, Москва
","55.8635035,37.4783996"
36,"ул. Авиационная, д. 66, Москва
","55.809687,37.460098"
37,"ул. Авиационная, д. 77, Москва
","55.810177,37.469485"
38,"ул. Авиационная, д. 77, к. 1, Москва
","55.80741,37.450072"
39,"проезд. Кочновский, д. 4, к. 1, Москва
","55.8066841,37.5429106"
40,"проезд. Кочновский, д. 4, к. 2, Москва
","55.8070493,37.5459108"
41,"ул. Крылатские Холмы, д. 37, Москва
","55.7602695,37.4191536"
42,"проезд. Нагатинский 1-й, д. 11, к. 1, Москва
","55.678707,37.634631"
43,"проезд. Нагатинский 1-й, д. 11, к. 2, Москва
","55.677539,37.634398"
44,"проезд. Нагатинский 1-й, д. 11, к. 3, Москва
","55.6766291,37.6341188"
45,"ул. Авиационная, д. 77, к. 2, Москва
","55.809348,37.450872"
46,"пр-кт. Вернадского, д. 94, к. 2, Москва
","55.6528862,37.4741146"
47,"пр-кт. Вернадского, д. 105, к. 4, Москва
","55.6635229,37.4868335"
48,"ш. Ленинградское, д. 94, к. 2, Москва
","55.8557988,37.4716974"
49,"пр-кт. Буденного, д. 51, к. 1, Москва
","55.760449,37.737767"
50,"пр-кт. Буденного, д. 51, к. 3, Москва
","55.760322,37.738674"
51,"пр-кт. Буденного, д. 51, к. 4, Москва
","55.7597095,37.7384688"
52,"б-р. Генерала Карбышева, д. 13а, Москва
","55.78119,37.468856"
53,"ул. Донецкая, д. 30, к. 2, Москва
","55.646228,37.705841"
54,"ул. Донецкая, д. 30, к. 1, Москва
","55.645476,37.707215"
55,"ул. Дубнинская, д. 40А, к. 1, Москва
","55.888998,37.558436"
56,"ул. Дубнинская, д. 40А, к. 2, Москва
","55.889282,37.55843"
57,"ул. Дубнинская, д. 40А, к. 3, Москва
","55.889003,37.559595"
58,"ул. Дубнинская, д. 40А, к. 4, Москва
","55.889286,37.5596"
59,"пр-кт. Ленинский, д. 103, Москва
","55.665969,37.514329"
60,"пр-кт. Маршала Жукова, д. 43, к. 5, Москва
","55.7737572,37.4720641"
61,"проезд. Погонный, д. 3А, Москва
","55.8189071,37.7026518"
62,"ул. Расплетина, д. 21, Москва
","55.7983252,37.4819005"
63,"б-р. Ходынский, д. 5, к. 1, Москва
","55.7846816,37.5345222"
